space_group,band_gap,density,density_atomic,formation_energy_per_atom,e_total,e_ionic,e_electronic,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,cluster
11,0.7791999999999999,5.022717317257348,22.595814571374152,-1.1240792407142866,17.04833398,7.118969296666667,9.929364683333334,16.0,56.0,40.0,30.285714285714285,105.0,215.0,110.0,130.42857142857142,0.89,2.58,1.69,2.23,4
19,2.898,3.764365881131285,15.869706165192875,-3.09917400125,17.57201035333333,13.469476923333332,4.10253343,8.0,41.0,33.0,16.5,57.0,164.0,107.0,88.25,1.6,3.98,2.38,3.115,4
1,1.7211999999999998,3.094975692855144,28.03149922556892,-0.7661003587499989,18.48866714,12.443616146666663,6.045050993333334,16.0,38.0,22.0,24.0,105.0,195.0,90.0,121.85714285714286,0.95,2.58,1.63,2.232857142857143,4
12,2.0944000000000003,2.9012600611369685,12.923683876223825,-1.948263851989941,9.596024781760285,6.499904698114928,3.0961200836453524,8.0,26.0,18.0,11.083333333333334,66.0,166.0,100.0,86.33333333333333,0.93,3.44,2.51,2.953333333333333,4
62,7.481199999999999,1.860992408002848,9.355009590480895,-1.9707657491666672,6.216545566666667,4.3503137700000005,1.8662317966666664,1.0,9.0,8.0,5.2,31.0,84.0,53.0,50.7,2.04,3.98,1.94,2.9799999999999995,4
15,1.7885,5.570099156202046,25.20846461354558,-0.884232564895834,21.647788600082297,14.892404796748968,6.755383803333333,16.0,81.0,65.0,36.0,105.0,145.0,40.0,119.25,1.62,2.58,0.96,2.1475,4
2,1.0132999999999996,4.5362308389013215,18.48096831769789,-1.1431295579629648,20.059941620000004,13.538486036666669,6.521455583333335,7.0,38.0,31.0,22.444444444444443,71.0,195.0,124.0,136.0,0.95,3.04,2.09,1.9444444444444444,4
15,1.3716000000000004,5.037409127368563,24.20872292186197,-0.2496304714062489,16.412286796666663,7.198231996666665,9.214054799999998,16.0,51.0,35.0,32.5,105.0,145.0,40.0,123.5,1.93,2.58,0.6500000000000001,2.285,4
60,0.5510999999999999,6.914050613111794,13.756699318504603,-0.619356679500001,68.75711322666666,48.31545998666666,20.441653240000004,14.0,44.0,30.0,26.0,111.0,146.0,35.0,125.0,1.9,2.2,0.3000000000000002,2.02,4
82,1.6384999999999996,6.050666353300868,21.88040130686,-2.113616748333333,25.65643565666667,16.915921163333337,8.740514493333334,16.0,62.0,46.0,34.642857142857146,105.0,198.0,93.0,141.07142857142858,1.17,2.58,1.41,2.03,4
5,1.8095,4.334298162827825,23.947625527629626,-0.4903178437987014,13.12331933,6.85132736,6.271991969999999,15.0,80.0,65.0,27.454545454545453,105.0,132.0,27.0,110.27272727272728,2.0,2.58,0.5800000000000001,2.403636363636364,4
63,1.2653,3.8833797422990295,29.017306068958675,-0.5051517568571426,12.54920045333329,5.768806923333315,6.780393529999976,15.0,46.0,31.0,30.0,107.0,220.0,113.0,158.6,0.82,2.2,1.3800000000000003,1.6439999999999997,4
26,0.8926999999999999,4.740223152782643,26.318431286387984,-1.5706550039999996,35.79913567666667,30.77831757,5.020818106666666,8.0,74.0,66.0,32.0,66.0,162.0,96.0,106.8,2.36,3.44,1.08,3.032,4
14,2.3757,4.212742090005931,18.55441901859514,-0.8369024512500003,3.3950667233333327,0.9812888166666666,2.4137779066666663,9.0,54.0,45.0,20.25,57.0,140.0,83.0,77.75,2.6,3.98,1.38,3.635,4
15,3.9326,3.625424420286828,12.72743523753904,-2.883437011875,11.500050893333333,8.536943133333333,2.96310776,8.0,33.0,25.0,13.25,57.0,176.0,119.0,94.625,1.0,3.98,2.98,2.77875,4
31,0.0456000000000003,5.55756504845802,19.74180808610357,-0.5292936065624998,15.615036923333331,4.66798345,10.947053473333334,16.0,80.0,64.0,29.25,105.0,132.0,27.0,117.0,1.9,2.58,0.6800000000000002,2.26625,4
31,1.8729,4.2637574667318825,8.650925067653697,-1.496221712812499,15.508634196666668,10.324839786666669,5.18379441,1.0,26.0,25.0,10.75,31.0,132.0,101.0,73.75,1.83,3.44,1.61,2.7275,4
43,3.2613000000000003,3.3730940753773946,11.030831575456611,-2.580903788701032,12.286972749302349,9.272331641626678,3.01464110767567,3.0,25.0,22.0,10.714285714285714,66.0,139.0,73.0,91.14285714285714,0.98,3.44,2.46,2.64,4
63,3.1643,6.127057836314244,22.14229212627013,-2.362064575,15.787791228703318,11.4668346679429,4.320956560760418,8.0,83.0,75.0,34.4,66.0,195.0,129.0,119.0,0.95,3.44,2.49,2.562,4
105,5.2544,2.2687877578187914,10.28871763158327,-2.614835156304762,11.6163825,9.097002053333332,2.5193804466666667,3.0,15.0,12.0,6.8,66.0,128.0,62.0,95.88,0.98,3.44,2.46,2.2944,4
40,0.0,4.31241085641962,11.659991642377744,-2.039025206666667,15.16134591,10.608695153333333,4.552650756666666,8.0,26.0,18.0,14.333333333333334,57.0,132.0,75.0,85.0,1.83,3.98,2.15,3.083333333333333,4
5,0.7874,3.360480164635588,12.672292421004874,-2.8798039437994896,7.2010903766666665,4.619638490000001,2.5814518866666663,3.0,25.0,22.0,11.88888888888889,57.0,139.0,82.0,83.11111111111111,0.98,3.98,3.0,3.106666666666667,4
31,0.9802999999999996,4.2040783700915885,19.54417356314321,-0.7553361756249988,10.225324966666667,2.7897324633333334,7.435592503333333,14.0,48.0,34.0,23.0,105.0,144.0,39.0,117.375,1.69,2.58,0.8900000000000001,2.21375,4
1,2.006,2.556420222199148,20.522060665672,-1.254887081318182,6.42903656,3.455929256666668,2.9731073033333337,7.0,46.0,39.0,14.909090909090908,66.0,203.0,137.0,105.0,0.82,3.44,2.62,2.727272727272727,4
15,2.0738,6.143330702805298,12.609523770608888,-2.0171709255555554,4.678337793333335,2.1440181066666675,2.534319686666667,3.0,79.0,76.0,19.666666666666668,57.0,136.0,79.0,82.0,0.98,3.98,3.0,3.24,4
15,1.4190999999999998,3.496197381591902,18.110617048802133,-1.1318516215277772,23.48365233333333,16.711650456666664,6.772001876666667,3.0,50.0,47.0,17.333333333333332,105.0,139.0,34.0,118.33333333333331,0.98,2.58,1.6,1.9433333333333331,4
1,1.1403,3.034421101254335,11.553179681450304,-2.4904703319999992,7.13011447,3.9391540866666666,3.190960383333333,3.0,26.0,23.0,10.2,66.0,132.0,66.0,93.2,0.98,3.44,2.46,2.528,4
19,4.4355,5.6899577553087015,15.309408711474854,-3.5145395196428573,23.124749963333333,19.007976483333334,4.11677348,8.0,57.0,49.0,22.571428571428573,66.0,215.0,149.0,115.28571428571428,0.89,3.44,2.55,2.48,4
18,1.3727,2.550952816377832,26.91104084321723,-0.9642211082417632,5.649620756666667,0.4977263833333333,5.1518943733333336,15.0,41.0,26.0,19.76923076923077,105.0,164.0,59.0,114.23076923076924,1.6,2.58,0.98,2.399230769230769,4
82,2.1205,3.9463323764415152,22.84939418494252,-0.8252262901785709,9.520262720007803,3.701164223341138,5.819098496666666,16.0,48.0,32.0,24.857142857142858,105.0,144.0,39.0,115.42857142857144,1.69,2.58,0.8900000000000001,2.232857142857143,4
52,1.5856000000000003,5.204563738406487,16.248122868863998,-0.797528300000001,22.97958492666667,16.829546663333335,6.150038263333333,7.0,38.0,31.0,22.666666666666668,71.0,195.0,124.0,123.66666666666669,0.95,3.04,2.09,2.07,4
20,1.0912,2.975698748918556,12.592204930368284,-2.3272306426190474,8.206722319326046,3.861714636458145,4.345007682867902,3.0,27.0,24.0,10.857142857142858,66.0,128.0,62.0,89.85714285714286,0.98,3.44,2.46,2.645714285714285,4
95,1.3694000000000002,3.7935960514662033,11.056732506681076,-2.3080218441091955,19.89090854,13.689602013333332,6.201306526666667,3.0,25.0,22.0,11.857142857142858,66.0,153.0,87.0,97.71428571428572,0.98,3.44,2.46,2.56,4
2,4.154100000000001,3.896581333497795,13.848797982959956,-3.1411816041666656,11.83277799666667,8.391147466666668,3.4416305300000007,5.0,57.0,52.0,14.5,66.0,207.0,141.0,92.625,1.1,3.44,2.34,2.7625,4
28,2.2142,7.096507766975495,22.49375714818255,-0.9744609415277802,11.964854443333332,7.22209379,4.742760653333334,8.0,80.0,72.0,39.333333333333336,66.0,138.0,72.0,100.0,2.0,3.44,1.44,2.736666666666667,4
14,2.1513,1.5607535660327705,18.91186654149046,-0.3543269588616065,4.207804263333333,0.8090073466666666,3.3987969166666665,1.0,16.0,15.0,9.0,31.0,107.0,76.0,73.875,2.19,2.58,0.3900000000000001,2.385,4
8,0.7167000000000003,3.3253658126269787,16.493700346157635,-1.237675519431818,17.415912180000003,10.799427173333337,6.616485006666667,7.0,41.0,34.0,16.0,71.0,176.0,105.0,127.1818181818182,1.0,3.04,2.04,1.9818181818181813,4
14,2.0847,1.9815227818009675,8.368909498735738,-0.9938989936111112,9.48297833,5.007522523333333,4.475455806666666,3.0,7.0,4.0,4.666666666666667,71.0,128.0,57.0,98.33333333333331,0.98,3.04,2.06,1.8633333333333333,4
1,2.1598,2.190394384744106,8.828551967423108,-0.8706298930324073,9.500711903333334,4.95349401,4.547217893333333,3.0,14.0,11.0,5.555555555555555,71.0,128.0,57.0,107.11111111111111,0.98,3.04,2.06,1.7688888888888892,4
31,3.4027,4.755152667109465,15.067353607997584,-3.0117947055321834,14.174491289999995,10.777932213333331,3.3965590766666662,5.0,73.0,68.0,18.6,66.0,244.0,178.0,97.8,0.79,3.44,2.65,2.701,4
14,4.0165,10.24124328616322,11.376381614199502,-3.914961416666671,18.7477708,13.936995070000002,4.8107757300000005,8.0,72.0,64.0,29.33333333333333,66.0,175.0,109.0,102.33333333333331,1.3,3.44,2.14,2.7266666666666666,4
62,1.1482,5.529453917317042,25.57411972543935,-1.7370502094444429,20.49356138,11.28160558,9.2119558,7.0,52.0,45.0,36.22222222222222,71.0,190.0,119.0,146.22222222222223,1.22,3.04,1.82,1.9177777777777776,4
29,1.0195999999999996,9.697536277919973,17.111265238587762,-0.7507628749999995,24.098649496666667,5.77016818,18.328481316666664,16.0,78.0,62.0,42.0,105.0,136.0,31.0,120.33333333333331,2.01,2.58,0.5700000000000003,2.29,4
2,1.6246000000000005,3.113354909842477,12.56529675345752,-2.69710608887755,14.238237506666664,9.782873956666664,4.45536355,8.0,23.0,15.0,11.285714285714286,57.0,153.0,96.0,83.0,1.63,3.98,2.35,3.08,4
46,1.4236000000000004,7.77685987519008,13.69361940686568,-2.621873070666675,27.324351173333337,22.68424729,4.640103883333334,8.0,71.0,63.0,27.272727272727277,66.0,187.0,121.0,101.27272727272728,1.27,3.44,2.17,2.7927272727272725,4
63,3.8566,5.145477819265129,21.78525544663634,-2.690857958333332,22.348327879999776,18.85023704333313,3.4980908366666394,8.0,55.0,47.0,29.0,66.0,244.0,178.0,143.5,0.79,3.44,2.65,2.205,4
