crystal_system,space_group,band_gap,volume,density,density_atomic,formation_energy_per_atom,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,cluster,e_electronic,e_ionic,e_total,class
4,12,0.3592999999999999,66.24964535614083,8.647376794087013,16.562411339035208,-1.022655446875,8.0,80.0,72.0,36.0,66.0,144.0,78.0,102.0,1.69,3.44,1.75,2.6425,6,5.80736346,3.7701943733345296,9.577557833334527,train
2,186,5.2239,488.5406990786556,2.6446047093896325,22.206395412666165,-2.775097219545454,8.0,20.0,12.0,17.272727272727273,66.0,176.0,110.0,125.63636363636364,1.0,3.44,2.44,2.4000000000000004,1,3.229764233333333,8.055109823315243,11.284874056648578,train
4,14,8.2939,417.1930715559158,2.1590935741851505,13.03728348612237,-2.928047326875,5.0,9.0,4.0,8.0,57.0,84.0,27.0,63.75,2.04,3.98,1.94,3.495,5,1.6248708566666668,0.5638085233333333,2.18867938,train
6,164,3.1183,179.99962050329344,3.79248733935812,16.363601863935767,-2.4629429590909084,8.0,42.0,34.0,17.09090909090909,66.0,175.0,109.0,91.9090909090909,1.33,3.44,2.11,3.0154545454545456,3,3.7272412033333335,7.620234369999999,11.347475573333332,train
1,82,0.8566,176.30233390667465,4.805648006280308,25.18604770095352,-0.8067605758189639,25.0,34.0,9.0,31.857142857142858,120.0,139.0,19.0,123.28571428571428,1.55,2.55,0.9999999999999998,2.1957142857142857,6,7.738875496666665,3.18048103,10.919356526666666,train
2,186,2.3829,542.8423500100596,5.640852117803036,45.2368625008383,-0.9548443524999984,53.0,82.0,29.0,62.66666666666666,139.0,146.0,7.0,141.33333333333334,2.33,2.66,0.33,2.5500000000000003,2,5.378531210000001,12.311823063356409,17.69035427335641,train
4,15,1.0356999999999998,526.6675305628945,8.363910943855155,29.25930725349414,-0.3299503131944448,34.0,81.0,47.0,59.77777777777778,120.0,145.0,25.0,129.55555555555554,1.62,2.55,0.9299999999999996,2.16,10,9.083766743333335,11.037836533333335,20.121603276666672,train
1,115,1.7338,340.0458879585868,4.4518428994807095,21.25286799741168,-0.8575437885833326,16.0,73.0,57.0,26.0,105.0,170.0,65.0,122.875,1.5,2.58,1.08,2.19625,10,6.144793353333334,0.2918680366666666,6.436661390000001,train
3,60,1.8303,868.1597623930159,3.004270533805523,15.502852899875284,-1.1241521296428567,7.0,20.0,13.0,14.0,71.0,176.0,105.0,126.35714285714286,1.0,3.04,2.04,1.9385714285714288,10,6.025007763333332,12.995826200000002,19.02083396333333,train
4,14,1.5099999999999998,261.03340450061205,5.824115097095763,13.051670225030602,-2.3294396136666657,8.0,52.0,44.0,20.3,66.0,195.0,129.0,105.0,0.95,3.44,2.49,2.652,4,4.474872096666666,12.52667648,17.001548576666664,train
6,146,3.9164,129.77639492532336,3.453509451765228,12.977639492532337,-2.56118482641379,8.0,42.0,34.0,12.6,57.0,166.0,109.0,102.1,0.93,3.98,3.05,2.721,8,2.511785103333333,4.196086360051345,6.707871463384678,train
1,87,0.7409999999999997,477.8371984583125,8.461798968106148,29.86482490364453,-0.4272864227734416,34.0,81.0,47.0,61.5,120.0,145.0,25.0,135.25,1.62,2.55,0.9299999999999996,1.995625,6,17.044780718750868,23.694454558677023,40.73923527742789,train
3,19,1.4659,832.2842401437613,3.188614604602056,20.80710600359404,-1.0323188150833325,3.0,51.0,48.0,17.8,105.0,139.0,34.0,121.0,0.98,2.58,1.6,1.834,10,7.814550220000001,15.510942503333334,23.325492723333337,train
0,225,0.0,84.50039129148539,11.709055232390485,21.125097822871343,-0.7117503224999995,45.0,77.0,32.0,61.5,141.0,198.0,57.0,169.75,1.17,2.28,1.11,1.705,6,34.33183766999993,17.361221769999997,51.69305943999992,train
1,121,2.3973,180.96990938157543,3.10321461256023,15.080825781797952,-1.6829479909791647,8.0,41.0,33.0,13.5,66.0,203.0,137.0,108.41666666666669,0.82,3.44,2.62,2.6316666666666664,2,2.7110151366666657,18.85463394333333,21.56564908,train
4,14,6.383,416.1676800482013,3.2952423295097333,20.80838400241006,-3.581324165225,9.0,39.0,30.0,18.6,57.0,220.0,163.0,117.5,0.82,3.98,3.16,2.756,5,2.02348159,6.6444740300000005,8.667955619999999,train
0,216,0.3772999999999999,58.88361462561361,8.903879238228733,19.627871541871205,-0.5156329949999995,41.0,51.0,10.0,45.333333333333336,139.0,164.0,25.0,149.66666666666666,1.6,2.2,0.6000000000000001,1.95,6,22.83489974666644,15.195512034401062,38.0304117810675,train
4,11,1.997,490.833827510581,3.112527531590688,27.268545972810056,-0.1539692760069439,16.0,33.0,17.0,23.55555555555556,105.0,119.0,14.0,111.22222222222224,2.18,2.58,0.3999999999999999,2.4022222222222225,10,4.4451880300000015,1.0058308033333334,5.451018833333335,train
