model_type,feature_type,cluster,MSE,MAE,e_type
linear regression,composition_based,0,133.46,3.77,electronic
decision tree,composition_based,0,190.48,2.72,electronic
random forest,composition_based,0,117.65,2.40,electronic
neural network,composition_based,0,111.36,2.08,electronic
linear regression,physical_based,0,127.57,3.67,electronic
decision tree,physical_based,0,178.28,2.36,electronic
random forest,physical_based,0,105.00,1.94,electronic
neural network,physical_based,0,173.66,2.83,electronic
linear regression,composition_based,0,2625.26,12.86,ionic
decision tree,composition_based,0,2494.52,10.50,ionic
random forest,composition_based,0,2377.63,10.53,ionic
neural network,composition_based,0,2831.23,10.83,ionic
linear regression,physical_based,0,2638.27,12.28,ionic
decision tree,physical_based,0,3111.73,11.65,ionic
random forest,physical_based,0,2744.29,11.21,ionic
neural network,physical_based,0,2576.73,11.75,ionic
linear regression,composition_based,0,2811.95,14.57,total
decision tree,composition_based,0,4455.99,14.10,total
random forest,composition_based,0,2537.26,12.28,total
neural network,composition_based,0,2739.06,11.78,total
linear regression,physical_based,0,2810.30,13.97,total
decision tree,physical_based,0,3370.80,13.32,total
random forest,physical_based,0,2814.30,12.63,total
neural network,physical_based,0,2670.15,13.54,total
linear regression,physical_based,1,110.27,2.55,electronic
decision tree,physical_based,1,175.61,2.37,electronic
random forest,physical_based,1,93.31,2.02,electronic
