model_type,feature_type,cluster,MSE,MAE,e_type
LR,composition,0,27200.54,89.66,electronic
DT,composition,0,9564.85,7.49,electronic
RF,composition,0,46879.62,17.17,electronic
NN,composition,0,24853.3,13.68,electronic
LR,physical,0,10297.3,38.85,electronic
DT,physical,0,8845.8,7.02,electronic
RF,physical,0,65970.62,21.37,electronic
NN,physical,0,19673.19,22.11,electronic
LR,composition,1,3.8486e+20,437036733.32,electronic
DT,composition,1,9180.8,6.24,electronic
RF,composition,1,8733.67,6.04,electronic
NN,composition,1,290842.07,18.57,electronic
LR,physical,1,52.61,2.33,electronic
DT,physical,1,50.29,1.96,electronic
RF,physical,1,39.34,1.6,electronic
NN,physical,1,154.96,7.05,electronic
LR,composition,0,7332998.88,81.33,ionic
DT,composition,0,7335899.48,68.99,ionic
RF,composition,0,7338416.79,70.41,ionic
NN,composition,0,735169392.0,72.03,ionic
LR,physical,0,7333907.2,71.85,ionic
DT,physical,0,7335394.96,68.88,ionic
RF,physical,0,7337099.05,70.61,ionic
NN,physical,0,7334260.75,74.52,ionic
LR,composition,1,1.2176976331739198e+20,245832960.54,ionic
DT,composition,1,5745.45,15.03,ionic
RF,composition,1,1434.16,11.74,ionic
NN,composition,1,18325.56,16.81,ionic
LR,physical,1,171.67,6.79,ionic
DT,physical,1,199.7,6.79,ionic
RF,physical,1,161.6,6.28,ionic
NN,physical,1,139.22,6.74,ionic
LR,composition,0,7341445.44,170.33,total
DT,composition,0,7344769.65,74.09,total
RF,composition,0,7408782.68,89.6,total
NN,composition,0,7363468.07,80.73,total
LR,physical,0,7333806.15,105.56,total
DT,physical,0,7343687.43,73.66,total
RF,physical,0,7418827.78,89.67,total
NN,physical,0,7350163.04,98.33,total
LR,composition,1,9.395990455942286e+20,682869600.84,total
DT,composition,1,11987.71,17.33,total
RF,composition,1,10769.1,16.76,total
NN,composition,1,10828443.15,95.04,total
LR,physical,1,242.01,8.14,total
DT,physical,1,288.98,8.14,total
RF,physical,1,219.34,7.44,total
NN,physical,1,273.29,10.58,total
